index_type,num_partition,num_random_clusters,min_size_cluters,max_mst_degree,build_time,index_size,num_queries,efq1,efq2,query_time,comparison,recall
cspg,2,10,1000,5,149.664,849774384,10000,1,10,0.0605877,3917085,0.72129
cspg,2,10,1000,5,149.664,849774384,10000,1,20,0.0822456,5323227,0.86223
cspg,2,10,1000,5,149.664,849774384,10000,1,30,0.104312,6553183,0.91917
cspg,2,10,1000,5,149.664,849774384,10000,1,40,0.124423,7722298,0.94686
cspg,2,10,1000,5,149.664,849774384,10000,1,50,0.146517,8868491,0.96392
cspg,2,10,1000,5,149.664,849774384,10000,1,60,0.164688,9987255,0.974
cspg,2,10,1000,5,149.664,849774384,10000,1,70,0.180542,11101766,0.98091
cspg,2,10,1000,5,149.664,849774384,10000,1,80,0.20289,12197328,0.98525
cspg,2,10,1000,5,149.664,849774384,10000,1,90,0.230717,13284595,0.98874
cspg,2,10,1000,5,149.664,849774384,10000,1,100,0.238543,14352796,0.99116
cspg,2,10,1000,5,149.664,849774384,10000,1,110,0.25028,15419679,0.99312
cspg,2,10,1000,5,149.664,849774384,10000,1,120,0.266301,16478308,0.99449
cspg,2,10,1000,5,149.664,849774384,10000,1,130,0.283611,17521063,0.99547
cspg,2,10,1000,5,149.664,849774384,10000,1,140,0.300676,18553182,0.99613
cspg,2,10,1000,5,149.664,849774384,10000,1,150,0.321225,19586916,0.9969
cspg,2,10,1000,5,149.664,849774384,10000,1,160,0.332813,20606335,0.9974
cspg,2,10,1000,5,149.664,849774384,10000,1,170,0.339179,21612480,0.99776
cspg,2,10,1000,5,149.664,849774384,10000,1,180,0.363169,22620823,0.99802
cspg,2,10,1000,5,149.664,849774384,10000,1,190,0.380939,23609845,0.99822
cspg,2,10,1000,5,149.664,849774384,10000,1,200,0.393221,24600840,0.99843
cspg,2,10,1000,5,149.664,849774384,10000,1,210,0.413455,25576971,0.99858
cspg,2,10,1000,5,149.664,849774384,10000,1,220,0.434162,26548062,0.9988
cspg,2,10,1000,5,149.664,849774384,10000,1,230,0.443103,27516801,0.99888
cspg,2,10,1000,5,149.664,849774384,10000,1,240,0.457727,28470176,0.99907
cspg,2,10,1000,5,149.664,849774384,10000,1,250,0.475386,29422370,0.99917
cspg,2,10,1000,5,149.664,849774384,10000,1,260,0.484748,30366720,0.99923
cspg,2,10,1000,5,149.664,849774384,10000,1,270,0.506583,31310911,0.9993
cspg,2,10,1000,5,149.664,849774384,10000,1,280,0.517179,32241857,0.99933
cspg,2,10,1000,5,149.664,849774384,10000,1,290,0.535787,33172627,0.99943
cspg,2,10,1000,5,149.664,849774384,10000,1,300,0.545817,34093708,0.99949
cspg,2,10,1000,5,149.664,849774384,10000,2,10,0.0776072,3795607,0.72139
cspg,2,10,1000,5,149.664,849774384,10000,2,20,0.088876,5204113,0.86181
cspg,2,10,1000,5,149.664,849774384,10000,2,30,0.111388,6405506,0.91895
cspg,2,10,1000,5,149.664,849774384,10000,2,40,0.131677,7582304,0.94856
cspg,2,10,1000,5,149.664,849774384,10000,2,50,0.148811,8719341,0.96501
cspg,2,10,1000,5,149.664,849774384,10000,2,60,0.16774,9840739,0.97452
cspg,2,10,1000,5,149.664,849774384,10000,2,70,0.189173,10930133,0.98155
cspg,2,10,1000,5,149.664,849774384,10000,2,80,0.210168,12033029,0.98561
cspg,2,10,1000,5,149.664,849774384,10000,2,90,0.233524,13106805,0.98875
cspg,2,10,1000,5,149.664,849774384,10000,2,100,0.243204,14180171,0.9915
cspg,2,10,1000,5,149.664,849774384,10000,2,110,0.263833,15247908,0.99327
cspg,2,10,1000,5,149.664,849774384,10000,2,120,0.280815,16309319,0.99449
cspg,2,10,1000,5,149.664,849774384,10000,2,130,0.300875,17344420,0.99545
cspg,2,10,1000,5,149.664,849774384,10000,2,140,0.323588,18366347,0.99627
cspg,2,10,1000,5,149.664,849774384,10000,2,150,0.344116,19403870,0.99681
cspg,2,10,1000,5,149.664,849774384,10000,2,160,0.342144,20419121,0.99738
cspg,2,10,1000,5,149.664,849774384,10000,2,170,0.357836,21410987,0.99782
cspg,2,10,1000,5,149.664,849774384,10000,2,180,0.379397,22430297,0.9979
cspg,2,10,1000,5,149.664,849774384,10000,2,190,0.391604,23419928,0.99818
cspg,2,10,1000,5,149.664,849774384,10000,2,200,0.411318,24400627,0.99842
cspg,2,10,1000,5,149.664,849774384,10000,2,210,0.425683,25377418,0.99854
cspg,2,10,1000,5,149.664,849774384,10000,2,220,0.432882,26352112,0.99879
cspg,2,10,1000,5,149.664,849774384,10000,2,230,0.450101,27315717,0.99884
cspg,2,10,1000,5,149.664,849774384,10000,2,240,0.460375,28272807,0.99903
cspg,2,10,1000,5,149.664,849774384,10000,2,250,0.482763,29213184,0.99908
cspg,2,10,1000,5,149.664,849774384,10000,2,260,0.497439,30166247,0.99918
cspg,2,10,1000,5,149.664,849774384,10000,2,270,0.521068,31099960,0.99924
cspg,2,10,1000,5,149.664,849774384,10000,2,280,0.530716,32033426,0.99929
cspg,2,10,1000,5,149.664,849774384,10000,2,290,0.542901,32960731,0.99939
cspg,2,10,1000,5,149.664,849774384,10000,2,300,0.559887,33880920,0.99948
cspg,2,10,1000,5,149.664,849774384,10000,4,10,0.0665352,3816779,0.71803
cspg,2,10,1000,5,149.664,849774384,10000,4,20,0.0905207,5224794,0.86126
cspg,2,10,1000,5,149.664,849774384,10000,4,30,0.10848,6456866,0.91958
cspg,2,10,1000,5,149.664,849774384,10000,4,40,0.126667,7601890,0.94773
cspg,2,10,1000,5,149.664,849774384,10000,4,50,0.142534,8744718,0.96385
cspg,2,10,1000,5,149.664,849774384,10000,4,60,0.1643,9873635,0.97443
cspg,2,10,1000,5,149.664,849774384,10000,4,70,0.180104,10982868,0.98155
cspg,2,10,1000,5,149.664,849774384,10000,4,80,0.199224,12070254,0.98585
cspg,2,10,1000,5,149.664,849774384,10000,4,90,0.226775,13142950,0.98883
cspg,2,10,1000,5,149.664,849774384,10000,4,100,0.237335,14214683,0.99146
cspg,2,10,1000,5,149.664,849774384,10000,4,110,0.252242,15284141,0.99337
cspg,2,10,1000,5,149.664,849774384,10000,4,120,0.265111,16329367,0.99452
cspg,2,10,1000,5,149.664,849774384,10000,4,130,0.281979,17368044,0.99537
cspg,2,10,1000,5,149.664,849774384,10000,4,140,0.2984,18399345,0.99634
cspg,2,10,1000,5,149.664,849774384,10000,4,150,0.31831,19434611,0.99692
cspg,2,10,1000,5,149.664,849774384,10000,4,160,0.332906,20455341,0.99741
cspg,2,10,1000,5,149.664,849774384,10000,4,170,0.352679,21456927,0.99771
cspg,2,10,1000,5,149.664,849774384,10000,4,180,0.367539,22464031,0.99801
cspg,2,10,1000,5,149.664,849774384,10000,4,190,0.38944,23442169,0.99823
cspg,2,10,1000,5,149.664,849774384,10000,4,200,0.405284,24435319,0.99837
cspg,2,10,1000,5,149.664,849774384,10000,4,210,0.420237,25414340,0.99855
cspg,2,10,1000,5,149.664,849774384,10000,4,220,0.434989,26377203,0.99878
cspg,2,10,1000,5,149.664,849774384,10000,4,230,0.446387,27342228,0.99887
cspg,2,10,1000,5,149.664,849774384,10000,4,240,0.475841,28288189,0.99899
cspg,2,10,1000,5,149.664,849774384,10000,4,250,0.485415,29259841,0.99915
cspg,2,10,1000,5,149.664,849774384,10000,4,260,0.516287,30204484,0.99922
cspg,2,10,1000,5,149.664,849774384,10000,4,270,0.536567,31140609,0.99929
cspg,2,10,1000,5,149.664,849774384,10000,4,280,0.573213,32054568,0.99929
cspg,2,10,1000,5,149.664,849774384,10000,4,290,0.585878,32996171,0.99938
cspg,2,10,1000,5,149.664,849774384,10000,4,300,0.601204,33909880,0.99947
cspg,2,10,1000,5,149.664,849774384,10000,8,10,0.0661994,3929137,0.72219
cspg,2,10,1000,5,149.664,849774384,10000,8,20,0.0916957,5305369,0.862
cspg,2,10,1000,5,149.664,849774384,10000,8,30,0.115206,6549482,0.91909
cspg,2,10,1000,5,149.664,849774384,10000,8,40,0.13336,7717443,0.94693
cspg,2,10,1000,5,149.664,849774384,10000,8,50,0.152485,8852286,0.96484
cspg,2,10,1000,5,149.664,849774384,10000,8,60,0.172425,9956426,0.97476
cspg,2,10,1000,5,149.664,849774384,10000,8,70,0.19051,11075345,0.98137
cspg,2,10,1000,5,149.664,849774384,10000,8,80,0.210275,12175086,0.98556
cspg,2,10,1000,5,149.664,849774384,10000,8,90,0.222285,13267283,0.98889
cspg,2,10,1000,5,149.664,849774384,10000,8,100,0.247255,14338239,0.99136
cspg,2,10,1000,5,149.664,849774384,10000,8,110,0.264401,15403010,0.99346
cspg,2,10,1000,5,149.664,849774384,10000,8,120,0.282328,16448887,0.99448
cspg,2,10,1000,5,149.664,849774384,10000,8,130,0.300071,17494417,0.99565
cspg,2,10,1000,5,149.664,849774384,10000,8,140,0.318954,18533473,0.99654
cspg,2,10,1000,5,149.664,849774384,10000,8,150,0.342303,19551542,0.99698
cspg,2,10,1000,5,149.664,849774384,10000,8,160,0.354925,20583435,0.99736
cspg,2,10,1000,5,149.664,849774384,10000,8,170,0.363328,21584110,0.99773
cspg,2,10,1000,5,149.664,849774384,10000,8,180,0.393993,22605036,0.99806
cspg,2,10,1000,5,149.664,849774384,10000,8,190,0.411793,23587627,0.9982
cspg,2,10,1000,5,149.664,849774384,10000,8,200,0.426212,24575361,0.9984
cspg,2,10,1000,5,149.664,849774384,10000,8,210,0.450636,25554829,0.99855
cspg,2,10,1000,5,149.664,849774384,10000,8,220,0.462711,26525939,0.9988
cspg,2,10,1000,5,149.664,849774384,10000,8,230,0.480872,27491582,0.99892
cspg,2,10,1000,5,149.664,849774384,10000,8,240,0.492814,28446139,0.999
cspg,2,10,1000,5,149.664,849774384,10000,8,250,0.510595,29398988,0.99912
cspg,2,10,1000,5,149.664,849774384,10000,8,260,0.523587,30341547,0.99917
cspg,2,10,1000,5,149.664,849774384,10000,8,270,0.539086,31276488,0.99924
cspg,2,10,1000,5,149.664,849774384,10000,8,280,0.558027,32215389,0.99931
cspg,2,10,1000,5,149.664,849774384,10000,8,290,0.574219,33148629,0.9994
cspg,2,10,1000,5,149.664,849774384,10000,8,300,0.586452,34078050,0.99946
cspg,2,10,1000,5,149.664,849774384,10000,16,10,0.0706541,4465740,0.73883
cspg,2,10,1000,5,149.664,849774384,10000,16,20,0.0927429,5883752,0.86488
cspg,2,10,1000,5,149.664,849774384,10000,16,30,0.113789,7130213,0.92453
cspg,2,10,1000,5,149.664,849774384,10000,16,40,0.135009,8322741,0.95011
cspg,2,10,1000,5,149.664,849774384,10000,16,50,0.154814,9477965,0.96638
cspg,2,10,1000,5,149.664,849774384,10000,16,60,0.171706,10609854,0.97539
cspg,2,10,1000,5,149.664,849774384,10000,16,70,0.185784,11734770,0.98205
cspg,2,10,1000,5,149.664,849774384,10000,16,80,0.208013,12856489,0.98573
cspg,2,10,1000,5,149.664,849774384,10000,16,90,0.221417,13955000,0.9892
cspg,2,10,1000,5,149.664,849774384,10000,16,100,0.242968,15031409,0.99183
cspg,2,10,1000,5,149.664,849774384,10000,16,110,0.258942,16105856,0.99374
cspg,2,10,1000,5,149.664,849774384,10000,16,120,0.276248,17173269,0.99488
cspg,2,10,1000,5,149.664,849774384,10000,16,130,0.299385,18227086,0.99574
cspg,2,10,1000,5,149.664,849774384,10000,16,140,0.321327,19270467,0.99645
cspg,2,10,1000,5,149.664,849774384,10000,16,150,0.33789,20305931,0.99691
cspg,2,10,1000,5,149.664,849774384,10000,16,160,0.349328,21330204,0.99748
cspg,2,10,1000,5,149.664,849774384,10000,16,170,0.372381,22340032,0.99787
cspg,2,10,1000,5,149.664,849774384,10000,16,180,0.390239,23358775,0.99805
cspg,2,10,1000,5,149.664,849774384,10000,16,190,0.404721,24349103,0.99828
cspg,2,10,1000,5,149.664,849774384,10000,16,200,0.421263,25348748,0.99852
cspg,2,10,1000,5,149.664,849774384,10000,16,210,0.429498,26325943,0.99858
cspg,2,10,1000,5,149.664,849774384,10000,16,220,0.445793,27309672,0.99885
cspg,2,10,1000,5,149.664,849774384,10000,16,230,0.463074,28273244,0.99894
cspg,2,10,1000,5,149.664,849774384,10000,16,240,0.491743,29226441,0.99906
cspg,2,10,1000,5,149.664,849774384,10000,16,250,0.509729,30184337,0.99914
cspg,2,10,1000,5,149.664,849774384,10000,16,260,0.521697,31132967,0.99928
cspg,2,10,1000,5,149.664,849774384,10000,16,270,0.538791,32080192,0.99929
cspg,2,10,1000,5,149.664,849774384,10000,16,280,0.554621,33013526,0.99935
cspg,2,10,1000,5,149.664,849774384,10000,16,290,0.572777,33948458,0.99943
cspg,2,10,1000,5,149.664,849774384,10000,16,300,0.590652,34868528,0.99949
